"Id","Latitude","Longitude","UTC","DeviceName","DeviceId","Message","recordingEffort","knots","DriftName","DeploymentSite","seadepth"
3508107184,33.89781,-120.90724,2018-09-11 20:36:35,"X","0-2572666","UNLIMITED-TRACK",FALSE,NA,"CCES_013","CHI",2311
3508107185,33.89799,-120.90701,2018-09-11 21:05:28,"Y","0-2572643","UNLIMITED-TRACK",TRUE,NA,"CCES_013","CHI",2311
3508107186,33.89798,-120.90701,2018-09-11 21:05:31,"X","0-2572666","UNLIMITED-TRACK",TRUE,0.0317685099971361,"CCES_013","CHI",2311
3508107187,33.89742,-120.90585,2018-09-11 21:36:03,"X","0-2572666","UNLIMITED-TRACK",TRUE,0.131286458747835,"CCES_013","CHI",2311
3508107188,33.8974,-120.90585,2018-09-11 21:37:03,"Y","0-2572643","UNLIMITED-TRACK",TRUE,0.128662376235284,"CCES_013","CHI",2311
3508107189,33.89646,-120.90482,2018-09-11 22:05:18,"Y","0-2572643","UNLIMITED-TRACK",TRUE,0.161651563269881,"CCES_013","CHI",2311
3508107190,33.89631,-120.90465,2018-09-11 22:08:53,"X","0-2572666","UNLIMITED-TRACK",TRUE,0.163243478930855,"CCES_013","CHI",2311
3508107191,33.89494,-120.90376,2018-09-11 22:36:36,"X","0-2572666","UNLIMITED-TRACK",TRUE,0.201614375325649,"CCES_013","CHI",2311
3508107192,33.89485,-120.90373,2018-09-11 22:38:00,"Y","0-2572643","UNLIMITED-TRACK",TRUE,0.202777726740244,"CCES_013","CHI",2311
3508107193,33.89334,-120.90289,2018-09-11 23:04:46,"Y","0-2572643","UNLIMITED-TRACK",TRUE,0.223033511594504,"CCES_013","CHI",2311
3508107194,33.89333,-120.90286,2018-09-11 23:05:12,"X","0-2572666","UNLIMITED-TRACK",TRUE,0.222752819434246,"CCES_013","CHI",2311
3508107195,33.8909,-120.90186,2018-09-11 23:34:59,"X","0-2572666","UNLIMITED-TRACK",TRUE,0.30936604447012,"CCES_013","CHI",2338
3508107196,33.88867,-120.90126,2018-09-12 00:04:59,"X","0-2572666","UNLIMITED-TRACK",TRUE,0.273219884256104,"CCES_013","CHI",2338
