yyyy-mm-ddTHH:MM:SSZ, BB_100-500 
2023-03-13T19:00:00.000Z, 100.226696
2023-03-13T19:02:00.000Z, 99.979650
2023-03-13T19:04:00.000Z, 99.989341
2023-03-13T19:06:00.000Z, 100.238346
2023-03-13T19:08:00.000Z, 100.912501
2023-03-13T19:10:00.000Z, 99.575820
2023-03-13T19:12:00.000Z, 99.674445
2023-03-13T19:14:00.000Z, 98.942064
2023-03-13T19:16:00.000Z, 104.758667
2023-03-13T19:18:00.000Z, 115.719999
2023-03-13T19:20:00.000Z, 117.224467
2023-03-13T19:22:00.000Z, 117.408649
2023-03-13T19:24:00.000Z, 117.554896
2023-03-13T19:26:00.000Z, 117.354053
2023-03-13T19:28:00.000Z, 117.342630
2023-03-13T19:30:00.000Z, 117.505302
2023-03-13T19:32:00.000Z, 117.511378
2023-03-13T19:34:00.000Z, 117.569220
2023-03-13T19:36:00.000Z, 117.682439
2023-03-13T19:38:00.000Z, 117.843421
2023-03-13T19:40:00.000Z, 117.738409
2023-03-13T19:42:00.000Z, 117.803737
2023-03-13T19:44:00.000Z, 117.852942
2023-03-13T19:46:00.000Z, 116.384537
2023-03-13T19:48:00.000Z, 104.989631
2023-03-13T19:50:00.000Z, 117.259885
2023-03-13T19:52:00.000Z, 117.569574
2023-03-13T19:54:00.000Z, 117.679431
2023-03-13T19:56:00.000Z, 117.535165
2023-03-13T19:58:00.000Z, 117.644770
2023-03-13T20:00:00.000Z, 117.516955
2023-03-13T20:02:00.000Z, 117.536932
2023-03-13T20:04:00.000Z, 117.595020
2023-03-13T20:06:00.000Z, 117.665533
2023-03-13T20:08:00.000Z, 117.565912
2023-03-13T20:10:00.000Z, 117.489310
2023-03-13T20:12:00.000Z, 117.621782
2023-03-13T20:14:00.000Z, 117.712776
2023-03-13T20:16:00.000Z, 117.745877
2023-03-13T20:18:00.000Z, 117.747463
2023-03-13T20:20:00.000Z, 117.432577
2023-03-13T20:22:00.000Z, 117.604552
2023-03-13T20:24:00.000Z, 117.427891
2023-03-13T20:26:00.000Z, 117.331581
2023-03-13T20:28:00.000Z, 117.520357
2023-03-13T20:30:00.000Z, 117.223560
2023-03-13T20:32:00.000Z, 117.282386
2023-03-13T20:34:00.000Z, 117.622868
2023-03-13T20:36:00.000Z, 117.416458
2023-03-13T20:38:00.000Z, 117.410587
2023-03-13T20:40:00.000Z, 117.518059
2023-03-13T20:42:00.000Z, 117.113281
2023-03-13T20:44:00.000Z, 116.436168
2023-03-13T20:46:00.000Z, 115.397064
2023-03-13T20:48:00.000Z, 115.781723
2023-03-13T20:50:00.000Z, 102.279648
2023-03-13T20:52:00.000Z, 99.537963
2023-03-13T20:54:00.000Z, 99.962785
2023-03-13T20:56:00.000Z, 99.470848
2023-03-13T20:58:00.000Z, 99.301746
2023-03-13T21:00:00.000Z, 87.681743
2023-03-13T21:02:00.000Z, 87.605343
2023-03-13T21:04:00.000Z, 87.959708
2023-03-13T21:06:00.000Z, 87.876180
2023-03-13T21:08:00.000Z, 97.638755
2023-03-13T21:10:00.000Z, 95.657085
2023-03-13T21:12:00.000Z, 98.476272
2023-03-13T21:14:00.000Z, 97.187833
2023-03-13T21:16:00.000Z, 104.915824
2023-03-13T21:18:00.000Z, 104.386779
2023-03-13T21:20:00.000Z, 109.873505
2023-03-13T21:22:00.000Z, 107.805130
2023-03-13T21:24:00.000Z, 119.695049
2023-03-13T21:26:00.000Z, 111.600087
2023-03-13T21:28:00.000Z, 109.690570
2023-03-13T21:30:00.000Z, 106.421261
2023-03-13T21:32:00.000Z, 103.457351
2023-03-13T21:34:00.000Z, 100.674529
2023-03-13T21:36:00.000Z, 100.565557
2023-03-13T21:38:00.000Z, 117.063078
2023-03-13T21:40:00.000Z, 102.606362
2023-03-13T21:42:00.000Z, 97.435806
2023-03-13T21:44:00.000Z, 93.985977
2023-03-13T21:46:00.000Z, 94.000301
2023-03-13T21:48:00.000Z, 86.399563
2023-03-13T21:50:00.000Z, 86.397018
2023-03-13T21:52:00.000Z, 86.643271
2023-03-13T21:54:00.000Z, 86.451864
2023-03-13T21:56:00.000Z, 86.134078
2023-03-13T21:58:00.000Z, 86.613006
2023-03-13T22:00:00.000Z, 87.189468
2023-03-13T22:02:00.000Z, 86.307083
2023-03-13T22:04:00.000Z, 87.329746
2023-03-13T22:06:00.000Z, 88.305539
2023-03-13T22:08:00.000Z, 88.836716
2023-03-13T22:10:00.000Z, 88.015256
2023-03-13T22:12:00.000Z, 87.298028
2023-03-13T22:14:00.000Z, 87.532027
2023-03-13T22:16:00.000Z, 88.849900
2023-03-13T22:18:00.000Z, 87.843906
2023-03-13T22:20:00.000Z, 87.068921
2023-03-13T22:22:00.000Z, 87.668680
2023-03-13T22:24:00.000Z, 88.295949
2023-03-13T22:26:00.000Z, 88.351718
2023-03-13T22:28:00.000Z, 89.130325
2023-03-13T22:30:00.000Z, 91.942269
2023-03-13T22:32:00.000Z, 91.529646
2023-03-13T22:34:00.000Z, 91.334099
2023-03-13T22:36:00.000Z, 89.662847
2023-03-13T22:38:00.000Z, 88.703294
2023-03-13T22:40:00.000Z, 89.541547
