yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400 
2023-03-13T19:00:00.000Z, 91.211357, 86.831123, 93.899126, 88.270413, 84.840427, 89.424056
2023-03-13T19:02:00.000Z, 90.640557, 86.223874, 93.920823, 89.252725, 84.733516, 89.092904
2023-03-13T19:04:00.000Z, 90.464894, 85.825691, 92.836677, 89.057661, 86.311975, 88.293668
2023-03-13T19:06:00.000Z, 92.004699, 91.352408, 92.950910, 88.969340, 86.051532, 88.244941
2023-03-13T19:08:00.000Z, 92.478348, 91.108232, 95.319592, 89.685832, 86.909269, 89.174978
2023-03-13T19:10:00.000Z, 90.776329, 87.252315, 94.321375, 89.342590, 86.075063, 87.941596
2023-03-13T19:12:00.000Z, 90.376547, 86.452302, 93.178531, 88.091879, 86.812359, 87.922882
2023-03-13T19:14:00.000Z, 90.404122, 87.280499, 92.512038, 88.221941, 86.303627, 88.150022
2023-03-13T19:16:00.000Z, 96.475796, 96.738793, 95.928283, 91.478389, 90.731031, 92.072684
2023-03-13T19:18:00.000Z, 106.821360, 112.954979, 105.927168, 101.432827, 97.276694, 97.279190
2023-03-13T19:20:00.000Z, 109.765389, 112.089458, 110.068173, 104.093107, 98.066255, 98.162413
2023-03-13T19:22:00.000Z, 111.486898, 113.626957, 108.644590, 104.563492, 97.282983, 98.086076
2023-03-13T19:24:00.000Z, 111.102064, 113.416844, 110.090920, 104.622275, 97.534866, 97.901053
2023-03-13T19:26:00.000Z, 110.860310, 113.210748, 109.658954, 104.090465, 97.655264, 98.275123
2023-03-13T19:28:00.000Z, 110.475810, 112.805055, 110.052012, 104.644200, 97.807160, 98.254361
2023-03-13T19:30:00.000Z, 110.899082, 113.166371, 110.286087, 104.410191, 97.656571, 98.282081
2023-03-13T19:32:00.000Z, 112.029244, 113.521230, 109.337232, 103.975031, 97.912096, 98.309704
2023-03-13T19:34:00.000Z, 112.079368, 113.526205, 108.831344, 104.527779, 97.913215, 97.954689
2023-03-13T19:36:00.000Z, 112.336655, 113.933510, 109.140416, 104.303752, 97.913767, 98.001134
2023-03-13T19:38:00.000Z, 112.377083, 113.695374, 108.674034, 104.773070, 97.747028, 98.031095
2023-03-13T19:40:00.000Z, 111.918255, 113.538644, 108.574366, 104.825168, 97.722091, 98.043798
2023-03-13T19:42:00.000Z, 111.985301, 113.966523, 108.308947, 104.881818, 97.877859, 98.340717
2023-03-13T19:44:00.000Z, 111.167090, 114.128955, 109.211144, 104.448914, 98.882968, 98.250733
2023-03-13T19:46:00.000Z, 107.639855, 111.307818, 107.516214, 102.319602, 97.942103, 97.685736
2023-03-13T19:48:00.000Z, 94.558559, 96.829552, 95.209966, 91.866903, 89.575330, 92.126080
2023-03-13T19:50:00.000Z, 105.925285, 114.235486, 108.367587, 101.972409, 99.430725, 98.333879
2023-03-13T19:52:00.000Z, 112.598680, 113.131590, 109.044140, 105.217061, 98.462035, 98.375111
2023-03-13T19:54:00.000Z, 112.592629, 113.577763, 108.322738, 103.436559, 97.945440, 98.461511
2023-03-13T19:56:00.000Z, 111.579178, 113.326881, 108.796269, 103.783190, 97.746130, 98.466627
2023-03-13T19:58:00.000Z, 111.461000, 113.437937, 108.795873, 104.194439, 97.293460, 98.310634
2023-03-13T20:00:00.000Z, 110.967617, 113.282712, 108.617344, 104.389778, 97.589574, 98.369467
2023-03-13T20:02:00.000Z, 110.608010, 113.221237, 108.475747, 104.513131, 98.140577, 98.281920
2023-03-13T20:04:00.000Z, 110.516566, 113.383131, 109.103267, 105.401139, 97.997994, 98.358822
2023-03-13T20:06:00.000Z, 110.847711, 113.573047, 109.237498, 105.127009, 97.771735, 98.604684
2023-03-13T20:08:00.000Z, 111.268631, 113.661411, 109.062408, 103.721381, 97.971747, 98.517831
2023-03-13T20:10:00.000Z, 111.517352, 113.197962, 109.588253, 103.896967, 97.918778, 98.297762
2023-03-13T20:12:00.000Z, 111.107234, 113.394421, 110.128906, 104.006603, 97.794502, 98.243759
2023-03-13T20:14:00.000Z, 111.001276, 113.478710, 110.101559, 104.433280, 97.592262, 98.369510
2023-03-13T20:16:00.000Z, 111.051109, 113.440201, 110.403696, 105.022862, 97.634979, 98.281036
2023-03-13T20:18:00.000Z, 111.015590, 113.140682, 110.500518, 104.845730, 98.250804, 98.598517
2023-03-13T20:20:00.000Z, 110.639784, 113.078258, 109.764800, 104.736901, 97.791113, 98.590264
2023-03-13T20:22:00.000Z, 109.978824, 113.348642, 110.039173, 105.203993, 97.692204, 98.644597
2023-03-13T20:24:00.000Z, 110.497766, 113.178236, 110.236546, 104.753962, 97.887353, 98.401966
2023-03-13T20:26:00.000Z, 110.607125, 113.112665, 109.119222, 104.266421, 97.577407, 98.433393
2023-03-13T20:28:00.000Z, 111.400776, 113.738379, 109.174425, 103.549215, 97.620657, 98.590082
2023-03-13T20:30:00.000Z, 110.142680, 113.294451, 109.743437, 103.771824, 97.869391, 98.718383
2023-03-13T20:32:00.000Z, 109.880107, 113.512025, 110.150921, 103.691025, 97.469503, 98.634735
2023-03-13T20:34:00.000Z, 111.096989, 113.285334, 109.663787, 104.649743, 97.745317, 98.758389
2023-03-13T20:36:00.000Z, 110.545353, 113.362924, 109.928738, 104.090554, 97.473985, 98.943375
2023-03-13T20:38:00.000Z, 110.509634, 113.504528, 109.685960, 104.390535, 97.799005, 98.963907
2023-03-13T20:40:00.000Z, 110.899631, 113.681523, 109.265617, 104.014649, 97.784910, 99.083704
2023-03-13T20:42:00.000Z, 109.999895, 113.601919, 109.279613, 103.778729, 97.856001, 99.096451
2023-03-13T20:44:00.000Z, 109.429417, 113.546001, 107.850546, 102.910563, 100.913149, 98.487148
2023-03-13T20:46:00.000Z, 109.145449, 112.013528, 106.809534, 102.168336, 98.975491, 98.577084
2023-03-13T20:48:00.000Z, 107.876535, 112.004897, 104.212353, 100.690992, 99.458808, 98.070135
2023-03-13T20:50:00.000Z, 95.720259, 92.913533, 91.226918, 90.358217, 91.336742, 92.347014
2023-03-13T20:52:00.000Z, 93.759763, 89.042958, 87.161054, 90.949008, 88.215497, 91.046245
2023-03-13T20:54:00.000Z, 93.625562, 89.238967, 87.165199, 90.882605, 88.624009, 90.086278
2023-03-13T20:56:00.000Z, 93.855167, 90.335858, 88.480870, 89.762149, 89.136780, 90.401608
2023-03-13T20:58:00.000Z, 93.104944, 88.015013, 86.148935, 90.345495, 87.513909, 89.981644
2023-03-13T21:00:00.000Z, 83.005060, 79.463663, 77.152602, 74.920756, 77.643817, 73.725185
2023-03-13T21:02:00.000Z, 83.796165, 79.767612, 77.357682, 74.180238, 76.522860, 72.589759
2023-03-13T21:04:00.000Z, 83.688703, 80.221881, 77.428757, 74.050620, 76.357397, 73.022467
2023-03-13T21:06:00.000Z, 84.013035, 80.615056, 77.674002, 74.074160, 76.333259, 72.248501
2023-03-13T21:08:00.000Z, 88.963482, 86.670235, 84.597483, 87.465258, 86.750119, 86.851489
2023-03-13T21:10:00.000Z, 88.175786, 84.739340, 85.101453, 84.757728, 83.860398, 84.479739
2023-03-13T21:12:00.000Z, 88.404063, 85.622149, 88.361993, 85.878165, 88.077267, 87.994865
2023-03-13T21:14:00.000Z, 93.773654, 87.052802, 83.577159, 81.704021, 79.861816, 80.590447
2023-03-13T21:16:00.000Z, 90.755104, 85.945522, 94.865148, 96.678973, 101.315006, 95.277697
2023-03-13T21:18:00.000Z, 90.993291, 85.856134, 93.023682, 101.171842, 93.477573, 90.809461
2023-03-13T21:20:00.000Z, 101.704457, 97.089670, 100.433651, 101.073849, 102.405143, 101.427363
2023-03-13T21:22:00.000Z, 100.680700, 97.834965, 100.284898, 98.816075, 100.061199, 96.000232
2023-03-13T21:24:00.000Z, 105.867176, 104.780001, 109.837219, 108.052827, 110.463536, 110.203731
2023-03-13T21:26:00.000Z, 91.146267, 94.153449, 105.367633, 100.311279, 104.101658, 107.300579
2023-03-13T21:28:00.000Z, 87.776778, 90.635775, 102.394210, 100.059680, 102.083914, 105.294785
