"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Begin.Date.Time","Begin.Hour","Species","Notes"
"1",1,"Spectrogram 1",1,1209.252619115,1239.125486641,95.823,560.197,"2023/3/11  19:50:09.2526",19,"Hmp",""
"2",2,"Spectrogram 1",1,2273.591634416,2304.862806379,117.936,773.956,"2023/3/11  20:07:53.5916",20,"HmpSng",""
"3",3,"Spectrogram 1",1,5881.569248234,5998.645465219,199.017,464.373,"2023/3/11  21:08:01.5692",21,"Hmp",""
"4",4,"Spectrogram 1",1,6895.008407015,6930.728729461,125.307,781.327,"2023/3/11  21:24:54.0084",21,"HmpSng",""
"5",5,"Spectrogram 1",1,8430.471631179,8507.886849576,51.597,810.811,"2023/3/11  21:50:30.4716",21,"HmpSng",""
"6",6,"Spectrogram 1",1,9093.216637065,9131.352212629,132.678,943.489,"2023/3/11  22:01:32.2166",22,"Hmp",""
"7",7,"Spectrogram 1",1,9514.843377177,9549.800988112,81.081,788.698,"2023/3/11  22:08:34.8434",22,"HmpSng",""
"8",8,"Spectrogram 1",1,12837.648498588,12935.402690619,44.226,1009.828,"2023/3/11  23:03:57.6485",23,"HmpSng",""
"9",9,"Spectrogram 1",1,16381.690714042,16435.970349929,88.452,508.6,"2023/3/12  0:03:00.6907",0,"Hmp",""
"10",10,"Spectrogram 1",1,16856.504111876,16906.080360111,184.275,796.069,"2023/3/12  0:10:55.5041",0,"HmpSng",""
"11",11,"Spectrogram 1",1,20167.944756768,20256.419292079,73.71,1149.877,"2023/3/12  1:06:07.9448",1,"HmpSng",""
"12",12,"Spectrogram 1",1,23661.648179143,23756.6057623,140.049,1083.538,"2023/3/12  2:04:20.6482",2,"HmpSng",""
"13",13,"Spectrogram 1",1,27279.546459275,27339.037957156,95.823,722.359,"2023/3/12  3:04:38.5465",3,"HmpSng",""
"14",14,"Spectrogram 1",1,30827.021043197,30921.724389183,213.759,869.779,"2023/3/12  4:03:45.0210",4,"HmpSng",""
"15",15,"Spectrogram 1",1,31486.334513948,31575.063286429,176.904,1031.941,"2023/3/12  4:14:44.3345",4,"HmpSng",""
"16",16,"Spectrogram 1",1,34346.275217867,34450.8938135,125.307,530.713,"2023/3/12  5:02:24.2752",5,"HmpSng",""
"17",17,"Spectrogram 1",1,37978.537898129,38059.385318326,221.13,434.889,"2023/3/12  6:02:56.5379",6,"Hmp",""
"18",18,"Spectrogram 1",1,38734.258178908,38853.876767597,73.71,574.939,"2023/3/12  6:15:32.2582",6,"HmpSng",""
"19",19,"Spectrogram 1",1,39410.605623411,39499.715751648,81.081,685.504,"2023/3/12  6:26:48.6056",6,"HmpSng",""
"20",20,"Spectrogram 1",1,40020.342762594,40110.342720927,110.565,700.246,"2023/3/12  6:36:58.3428",6,"HmpSng",""
"21",21,"Spectrogram 1",1,41732.122381121,41810.427429614,44.226,818.182,"2023/3/12  7:05:30.1224",7,"HmpSng",""
"22",22,"Spectrogram 1",1,45057.088518479,45119.885099576,73.71,840.295,"2023/3/12  8:00:55.0885",8,"HmpSng",""
"23",23,"Spectrogram 1",1,48810.794370057,48893.675687618,147.42,1407.862,"2023/3/12  9:03:28.7944",9,"HmpSng",""
"24",24,"Spectrogram 1",1,52335.387608639,52436.319765301,110.565,803.44,"2023/3/12  10:02:13.3876",10,"HmpSng",""
"25",25,"Spectrogram 1",1,56273.218094044,56358.260427554,117.936,796.069,"2023/3/12  11:07:50.2181",11,"HmpSng",""
"26",26,"Spectrogram 1",1,58356.082428202,58404.895964925,95.823,965.602,"2023/3/12  11:42:33.0824",11,"HmpSng",""
"27",27,"Spectrogram 1",1,59959.429893538,60069.38746975,117.936,737.101,"2023/3/12  12:09:16.4299",12,"HmpSng",""
"28",28,"Spectrogram 1",1,63679.328118114,63714.539966219,213.759,796.069,"2023/3/12  13:11:16.3281",13,"HmpSng",""
"29",29,"Spectrogram 1",1,66615.285735993,66743.167032721,125.307,855.037,"2023/3/12  14:00:12.2857",14,"HmpSng",""
"30",30,"Spectrogram 1",1,70220.599276189,70288.86195645,44.226,722.359,"2023/3/12  15:00:17.5993",15,"HmpSng",""
"31",31,"Spectrogram 1",1,74084.700982168,74157.539931497,235.872,773.956,"2023/3/12  16:04:41.7010",16,"HmpSng",""
"32",32,"Spectrogram 1",1,76749.285694327,76801.658551436,147.42,545.455,"2023/3/12  16:49:05.2857",16,"HmpSng",""
"33",33,"Spectrogram 1",1,77442.082108757,77490.768526895,154.791,773.956,"2023/3/12  17:00:38.0821",17,"HmpSng",""
"34",34,"Spectrogram 1",1,81217.785392243,81317.446363053,117.936,884.521,"2023/3/12  18:03:34.7854",18,"HmpSng",""
"35",35,"Spectrogram 1",1,84770.598956744,84901.912455273,95.823,530.713,"2023/3/12  19:02:46.5990",19,"HmpSng",""
"36",36,"Spectrogram 1",1,89788.404043432,89853.742996234,184.275,412.776,"2023/3/12  20:26:24.4040",20,"HmpSng",""
"37",37,"Spectrogram 1",1,90469.580744174,90573.30950971,95.823,972.973,"2023/3/12  20:37:45.5807",20,"HmpSng",""
"38",38,"Spectrogram 1",1,92074.962106874,92158.479017361,125.307,847.666,"2023/3/12  21:04:30.9621",21,"HmpSng",""
"39",39,"Spectrogram 1",1,95707.605892891,95755.529599517,140.049,375.921,"2023/3/12  22:05:03.6059",22,"Hmp",""
"40",40,"Spectrogram 1",1,96582.105854696,96701.978680556,66.339,604.423,"2023/3/12  22:19:37.1059",22,"HmpSng",""
"41",41,"Spectrogram 1",1,98515.173656368,98624.495639654,58.968,479.115,"2023/3/12  22:51:50.1737",22,"HmpSng",""
"42",42,"Spectrogram 1",1,99020.240527484,99128.799799258,58.968,766.585,"2023/3/12  23:00:15.2405",23,"HmpSng",""
"43",43,"Spectrogram 1",1,102682.503193856,102708.43538524,125.307,884.521,"2023/3/13  0:01:17.5032",0,"HmpSng",""
"44",44,"Spectrogram 1",1,103263.003225106,103345.757424082,125.307,818.182,"2023/3/13  0:10:58.0032",0,"HmpSng",""
"45",45,"Spectrogram 1",1,105168.994684793,105267.892944091,103.194,597.052,"2023/3/13  0:42:44.9947",0,"HmpSng",""
"46",46,"Spectrogram 1",1,105861.740426789,105871.655676436,228.501,2004.914,"2023/3/13  0:54:17.7404",0,"HmpSoc",""
"47",47,"Spectrogram 1",1,105827.037053025,105914.621758239,928.747,2808.354,"2023/3/13  0:53:42.0371",0,"other","kw?"
"48",48,"Spectrogram 1",1,106493.722651718,106533.256531721,73.71,1135.135,"2023/3/13  1:04:49.7227",1,"HmpSoc",""
"49",49,"Spectrogram 1",1,106932.052432262,106963.19648564,184.275,766.585,"2023/3/13  1:12:07.0524",1,"HmpSng",""
"50",50,"Spectrogram 1",1,106975.781225577,106983.916815031,44.226,1194.103,"2023/3/13  1:12:51.7812",1,"HmpSoc",""
"51",51,"Spectrogram 1",1,110100.556114936,110158.14083404,81.081,648.649,"2023/3/13  2:04:55.5561",2,"HmpSng",""
"52",52,"Spectrogram 1",1,110413.877653778,110495.487785487,73.71,737.101,"2023/3/13  2:10:08.8777",2,"HmpSng",""
"53",53,"Spectrogram 1",1,111136.92729149,111195.40184069,66.339,914.005,"2023/3/13  2:22:12.9273",2,"HmpSng",""
"54",54,"Spectrogram 1",1,113453.356139124,113546.025587747,58.968,766.585,"2023/3/13  3:00:48.3561",3,"HmpSng",""
"55",55,"Spectrogram 1",1,116495.127342338,116566.695105814,140.049,700.246,"2023/3/13  3:51:29.1273",3,"HmpSng",""
"56",56,"Spectrogram 1",1,119167.212051024,119246.152692444,206.388,1068.796,"2023/3/13  4:36:01.2121",4,"HmpSng",""
"57",57,"Spectrogram 1",1,120747.042578096,120845.940837394,110.565,648.649,"2023/3/13  5:02:21.0426",5,"HmpSng",""
"58",58,"Spectrogram 1",1,123785.76260193,123832.923597046,66.339,825.553,"2023/3/13  5:53:00.7626",5,"HmpSng",""
"59",59,"Spectrogram 1",1,124316.508343927,124411.974401424,88.452,759.214,"2023/3/13  6:01:51.5083",6,"HmpSng",""
"60",60,"Spectrogram 1",1,127999.923617879,128072.889685793,95.823,648.649,"2023/3/13  7:03:14.9236",7,"HmpSng",""
"61",61,"Spectrogram 1",1,127981.364304437,127988.864300965,58.968,339.066,"2023/3/13  7:02:55.3643",7,"HmpSoc","grunt sequence"
"62",62,"Spectrogram 1",1,131583.245642832,131661.550691325,73.71,545.455,"2023/3/13  8:02:57.2456",8,"HmpSng",""
"63",63,"Spectrogram 1",1,132373.160906368,132514.389654543,103.194,943.489,"2023/3/13  8:16:07.1609",8,"HmpSng",""
"64",64,"Spectrogram 1",1,137658.09306303,137710.211682968,132.678,405.405,"2023/3/13  9:44:12.0931",9,"Hmp",""
"65",65,"Spectrogram 1",1,137440.160885534,137468.254092867,287.469,700.246,"2023/3/13  9:40:34.1609",9,"Hmp",""
"66",66,"Spectrogram 1",1,138734.125154838,138814.84545645,221.13,2425.061,"2023/3/13  10:02:08.1252",10,"HmpSng",""
"67",67,"Spectrogram 1",1,140661.088264419,140740.664498764,66.339,2601.966,"2023/3/13  10:34:14.0883",10,"HmpSng",""
"68",68,"Spectrogram 1",1,142420.334037665,142518.342466867,58.968,2933.661,"2023/3/13  11:03:34.3340",11,"HmpSng",""
"69",69,"Spectrogram 1",1,144371.834034193,144478.232290019,184.275,1407.862,"2023/3/13  11:36:05.8340",11,"HmpSng",""
"70",70,"Spectrogram 1",1,146063.020441914,146122.38482121,117.936,1518.428,"2023/3/13  12:04:16.0204",12,"HmpSng",""
"71",71,"Spectrogram 1",1,149416.206821857,149448.494942502,221.13,582.31,"2023/3/13  13:00:09.2068",13,"",""
"72",72,"Spectrogram 1",1,149480.783063147,149520.698298905,125.307,1068.796,"2023/3/13  13:01:14.7831",13,"HmpSng",""
"73",73,"Spectrogram 1",1,151681.918687323,151734.545781603,81.081,678.133,"2023/3/13  13:37:55.9187",13,"HmpSng",""
"74",74,"Spectrogram 1",1,153010.96951948,153069.95254302,125.307,722.359,"2023/3/13  14:00:04.9695",14,"HmpSng",""
"75",75,"Spectrogram 1",1,156824.223791372,156875.325462629,132.678,560.197,"2023/3/13  15:03:37.2238",15,"HmpSng",""
"76",76,"Spectrogram 1",1,160291.816981344,160384.105074211,132.678,582.31,"2023/3/13  16:01:24.8170",16,"HmpSng",""
"77",77,"Spectrogram 1",1,162102.925970692,162138.519174553,162.162,1783.784,"2023/3/13  16:31:35.9260",16,"HmpSoc",""
